Name,Year,Body_Type,Origin,Province,District,Transmission,Fuel_Type,Brand,price_num,age,mileage_num
Toyota Fortuner 2.7 V 4X2 AT 2010,2010,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Toyota,310000000,15,100000
Ford EcoSport Titanium 1.5L AT 2016,2016,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Ford,305000000,9,90000
Toyota Corolla Altis 1.8G CVT 2015,2015,Sedan,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Toyota,445000000,10,100000
Mazda CX-5 2.0 Luxury 2023,2023,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Mazda,729000000,2,38000
Hyundai Tucson 2.0 Đặc biệt 2022,2022,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Hyundai,795000000,3,44000
Kia Sedona 2.2 DATH 2018,2018,MPV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy dầu,Kia,690000000,7,81000
Kia K3 1.6AT 2022,2022,Other,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Kia,555000000,3,45000
Audi Q5 2.0 TFSI Quattro 2017,2017,SUV,Nhập khẩu,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Audi,995000000,8,140000
Ford Ranger XLS 2.2L 4x2 MT 2019,2019,Bán tải,Nhập khẩu,Hà Nội,Cầu Giấy,Số sàn,Máy dầu,Ford,430000000,6,90000
Ford Territory 1.5L Ecoboost Titanium 2024,2024,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Ford,860000000,1,10000
Kia K3 1.6AT 2022,2022,Other,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Kia,555000000,3,45000
Hyundai Elantra   2.0 AT 2021,2021,Other,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Hyundai,535000000,4,30000
Ford Transit 2009,2009,Van/Minivan,Trong nước,Hà Nội,Đông Anh,Số sàn,Máy dầu,Ford,200000000,16,12000
Toyota Vios 1.5 E CVT 2021,2021,Sedan,Trong nước,Phú Thọ,Hạ Hòa,Số tự động,Máy xăng,Toyota,399000000,4,68000
