name,price,year,status,origin,mileage,fuel_type,body_type,brand,age
Hyundai Accent 1.4 AT 2012,238000000,2012,Xe cũ,Nhập khẩu,120000.0,xăng,Other,Hyundai,13
Toyota Vios 1.5G AT 2014,445000000,2014,Xe cũ,Trong nước,129000.0,xăng,Sedan,Toyota,11
Honda City 1.5 G 2022,420000000,2022,Xe cũ,Trong nước,1600.0,xăng,Sedan,Honda,3
Ford Ranger Wildtrak 2.0L 4x4 AT 2020,715000000,2020,Xe cũ,Trong nước,58000.0,xăng,Other,Ford,5
Nissan Navara EL Premium R 2019,460000000,2019,Xe cũ,Nhập khẩu,83000.0,dầu,Bán tải,Nissan,6
Peugeot 3008 GT Line 2022,820000000,2022,Xe cũ,Trong nước,50000.0,xăng,Other,Peugeot,3
Mercedes-Benz E200 E200 2020,1049000000,2020,Xe cũ,Nhập khẩu,45000.0,xăng,Sedan,Mercedes,5
Ford Ranger XLS 2.0L 4x2 AT 2019,500000000,2019,Xe cũ,Nhập khẩu,82000.0,dầu,Bán tải,Ford,6
Kia Sorento 2.2D Premium AWD 2022,945000000,2022,Xe cũ,Trong nước,40000.0,dầu,SUV,Kia,3
Nissan X trail 2.5 SV 4WD Premium 2017,490000000,2017,Xe cũ,Nhập khẩu,90000.0,xăng,SUV,Nissan,8
Hyundai Santa Fe 2.2 Dầu Cao cấp 2020,888000000,2020,Xe cũ,Trong nước,70000.0,dầu,SUV,Hyundai,5
Toyota Camry 2.5G 2016,565000000,2016,Xe cũ,Nhập khẩu,112000.0,xăng,Sedan,Toyota,9
